instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,36.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,36.47,55,55
t62_st70,,,,,,,,,,,158,158
at62_ftv35,1.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.41,29,29
t62_gr24,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.26,28,28
t84_gr48,1.4s,8.0,8.0,8.0,0.0,8.0,8.0,1,,1.43,37,37
at84_ftv64,7.9s,10.0,10.0,10.0,0.0,10.0,10.0,1,,7.92,44,44
at84_ft70,,,,,,,,,,,80,80
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,8,8
t84_kroD100,,,,,,,,,,,151,151
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.12,13,13
t84_bays29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.12,15,15
at62_p43,,,,,,,,,,,1,1
t62_gr96,,,,,,,,,,,278,278
at62_kro124p,,,,,,,,,,,203,203
at62_ftv38,6.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,6.17,42,42
t62_berlin52,,,,,,,,,,,94,94
t62_kroE100,,,,,,,,,,,580,580
at84_kro124p,,,,,,,,,,,92,92
t84_pr76,,9.0,,9.0,0.0,9.0,9.0,1,,765.59,74,74
at62_ftv47,22.9s,6.0,6.0,6.0,0.0,6.0,6.0,1,,22.92,38,38
t84_st70,22.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,22.1,58,58
at84_ftv38,0.4s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.44,23,23
at84_ftv35,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.17,14,14
t84_eil76,,8.0,,10.0,25.0,10.0,8.0,143,,7405.23,630,63
t62_kroB100,,,,,,,,,,,238,238
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,492.06,43,43
t84_rat99,,,,,,,,,,,151,151
t84_swiss42,1.0s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.99,28,28
t62_att48,,6.0,,6.0,0.0,6.0,6.0,1,,6769.92,78,78
t84_kroB100,,,,,,,,,,,159,159
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.11,12,12
at84_ftv55,4.9s,9.0,9.0,9.0,0.0,9.0,9.0,1,,4.91,38,38
t62_brazil58,,,,,,,,,,,208,208
t62_fri26,0.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.56,36,36
at84_ftv44,0.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.34,32,32
at84_ft53,18.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,18.6,42,42
t84_kroE100,,,,,,,,,,,121,121
t62_kroC100,,,,,,,,,,,222,222
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.07,3,3
t84_rd100,,,,,,,,,,,161,161
t84_att48,0.7s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.66,32,32
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.13,13,13
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.06,2,2
t62_kroD100,,,,,,,,,,,615,615
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,275.44,74,74
t84_berlin52,,,,,,,,,,,70,70
t84_kroA100,,4.0,,9.0,125.0,9.0,4.0,1,,7395.77,130,130
t62_rat99,,,,,,,,,,,198,198
t62_ulysses22,0.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.17,23,23
at62_ftv33,0.5s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.47,26,26
at62_ry48p,,,,,,,,,,,54,54
t84_kroC100,,,,,,,,,,,125,125
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.1,3,3
t62_eil76,,,,,,,,,,,172,172
at84_ftv70,64.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,64.81,43,43
t84_hk48,1.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.61,28,28
t62_swiss42,20.7s,6.0,6.0,6.0,0.0,6.0,6.0,1,,20.72,41,41
t62_pr76,,,,,,,,,,,262,262
at62_ftv64,,,,,,,,,,,95,95
at84_ftv33,0.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.12,7,7
t62_rd100,,,,,,,,,,,266,266
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.1,10,10
at84_ry48p,2.0s,8.0,8.0,8.0,0.0,8.0,8.0,1,,2.04,39,39
t62_gr48,99.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,98.99,54,54
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,10,10
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.09,11,11
t84_eil51,1.8s,8.0,9.0,9.0,0.0,9.0,9.0,5,,4.63,62,45
t62_bays29,0.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.41,23,23
t84_gr96,,,,,,,,,,,141,141
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,9,9
t62_gr21,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.15,14,14
t62_kroA100,,,,,,,,,,,559,559
t84_dantzig42,0.5s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.53,18,18
t62_bayg29,0.4s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.39,15,15
t84_brazil58,,,,,,,,,,,73,73
at84_ftv47,0.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.64,27,27
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.12,9,9
at62_ft53,,,,,,,,,,,63,63
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,10,10
at62_ftv70,,,,,,,,,,,103,103
at62_ft70,,,,,,,,,,,203,203
at84_p43,1.2s,2.0,2.0,2.0,0.0,2.0,2.0,1,,1.19,2,2
t62_dantzig42,3.5s,6.0,6.0,7.0,0.0,6.0,6.0,1,,3.52,46,46
t62_hk48,,6.0,,6.0,0.0,6.0,6.0,1,,2036.07,88,88
